index	タイトル	2024-03-26	2024-03-27	2024-03-28	2024-03-30	2024-03-31	2024-04-01	2024-04-02	2024-04-03	2024-04-04	2024-04-05	2024-04-06	2024-04-07	2024-04-08	2024-04-09	2024-04-10	2024-04-11	2024-04-12	2024-04-13	2024-04-14	2024-04-15	2024-04-16	2024-04-17	2024-04-18	2024-04-19	2024-04-20	2024-04-21	2024-04-22	2024-04-23	2024-04-24	2024-04-25	2024-04-26	2024-04-27	2024-04-28	2024-04-29	2024-04-30	2024-05-01	2024-05-02	2024-05-03	2024-05-04	2024-05-05	2024-05-06	2024-05-07	2024-05-08	2024-05-09	2024-05-10	2024-05-11	2024-05-12	2024-05-13	2024-05-14	2024-05-15	2024-05-16	2024-05-17	2024-05-18	2024-05-19	2024-05-20	2024-05-21	2024-05-22	2024-05-23	2024-05-24	2024-05-25	2024-05-26	2024-05-27	2024-05-28	2024-05-29	2024-05-30	2024-05-31	2024-06-01	2024-06-02	2024-06-03	2024-06-04	2024-06-05	2024-06-06	2024-06-07	2024-06-08
https://youtu.be/G-LdNMa99oQ	Click : ME:I (ミーアイ)	2007106	4233147	6490806	10862929	11749589	12206807	12682273	13183570	13599081	13970686	14324091	14677982	15008142	15376228	15748982	16100358	16453380	16790419	17186275	17516127	17647130	17782604	17936864	18081327	18221967	18396061	18559950	18689924	18823564	18958380	19103907	19248080	19414750	19574991	19727886	19856399	19987452	20116575	20258543	20385364	20511760	20638659	20741993	20844613	20949866	21050850	21170975	21281328	21375171	21470559	21562638	21655746	21757892	21881315	21990829	22079454	22165952	22255816	22341325	22423419	22520462	22616637	22699000	22782463	22860029	22932237	23007192	23093513	23176032	23244745	23311012	23375335	23439021	23499475
https://youtu.be/iCy17X_FDWQ	Sugar Bomb																					201690	261926	314587	362189	408714	450533	490960	527042	560936	593325	625625	655772	685456	712560	737989	760817	783424	807440	831466	855381	876659	896342	916363	936100	956792	976514	996572	1014029	1030449	1047126	1062628	1078049	1092894	1108744	1123290	1136831	1151179	1165049	1178415	1191230	1204374	1216946	1228869	1240555	1252166	1263742	1274403	1285778	1297614	1308787	1319592	1330234	1340621	1351305
https://youtu.be/ViYg6S7yXRY	CHOPPY CHOPPY : ME:I - ME:I Ver.																					50290	72901	95058	116594	141803	167679	192645	212159	230907	246868	264516	279325	294452	308740	323181	335828	348360	361487	373438	385897	398991	411115	422459	433519	447005	458355	469907	481311	491886	502323	511766	521208	530297	540236	549489	558581	568205	577644	586012	594537	602840	610771	618201	625414	632956	640129	647284	654648	661777	668846	676177	683283	690265	697819
https://youtu.be/LzcWGogwI1k	& ME : ME:I - ME:I Ver.																					45952	66306	86534	103472	121120	141697	164097	189280	213903	238861	265754	287969	309596	332009	353690	372321	391026	410736	431639	452091	473193	494514	513892	532146	552853	572396	591827	608751	625067	642857	660060	676206	691915	708403	723254	738359	753642	770221	785428	799921	815742	831075	845053	858526	872531	886313	900021	914570	927969	941368	955013	968937	982222	995457
