	タイトル	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02
https://youtu.be/V5KzwNfox3I	OCHA NORMA『恋のクラウチングスタート』 	87275	149786	188342	218999	240658	258352	274844	288838	303202	316514	328233	339934	351056	361920	372275	382472	392186	401184	410201	421580	432718	442575	452377	461207	469533	477642	485608	493286	503956	516238	525846	535036	543743	551460	558735	565409	572724	580062	587249	595868	608095	618907	628499	637732	646192	654646	662745	670890	678629	686522	701807	709037	715819	722514	729469	736350	743081	749035	754888	760565	766204	771855	777869	783699	789261	795000	800364	805887	811284	816318	821026	825339	829651	833831	838373	842804	847343	851686	855702	859676	863707	867667	871322	875041	878791	882307	885707	889074	892422	895788
https://youtu.be/JTUOb8r9zyY	ハローキティ「Hello! 生まれた意味がきっとある」	0	0	0	0	0	0	0	0	0	50327	60205	67856	73628	77857	81019	83926	86272	88353	90109	91755	93422	95022	96538	97907	99137	100337	101479	102683	104167	105861	107165	108225	109172	109985	110716	111357	112032	112777	113415	114073	114798	115562	116193	116815	117410	117940	118604	119161	119852	120520	121686	122197	122659	123104	123520	123938	124366	124749	125074	125377	125718	125994	126281	126587	126882	127187	127478	127779	128094	128375	128676	128917	129219	129476	129737	129974	130203	130466	130686	130897	131118	131347	131553	131750	131971	132231	132428	132615	132842	133048
https://youtu.be/ryOTsKLfW6c	OCHA NORMA『お祭りデビューだぜ!』 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61870	116558	145362	169596	187972	203806	217795	229555	241090	251585	260980	270528	281386	290759	298990	306964	313861	320471	327311	334074	340078	346296	357871	363359	368454	373237	377998	382551	386973	390988	394872	398992	403103	406950	410851	414883	418235	421674	424919	428151	431460	434471	437232	439915	442505	445109	447834	450449	453110	455646	457877	460107	462363	464510	466594	468626	470695	472756	474793	476899	478832	480656
