index	タイトル	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20	2023-09-21	2023-09-22	2023-09-23	2023-09-24	2023-09-25	2023-09-26	2023-09-27	2023-09-28	2023-09-29	2023-09-30	2023-10-01	2023-10-02	2023-10-03	2023-10-04	2023-10-05	2023-10-06	2023-10-07	2023-10-08	2023-10-09	2023-10-10	2023-10-11	2023-10-12	2023-10-13	2023-10-14	2023-10-15	2023-10-16	2023-10-17	2023-10-18	2023-10-19	2023-10-20	2023-10-21	2023-10-22
https://youtu.be/M_jQTcbLB8o	藤本美貴「ボーイフレンド」	7862	13008	16034	18175	20208	22503	24436	25890	27530	28990	30137	31594	31894	32830	33775	34634	35477	36179	36918	37688	38380	39278	40154	40939	41801	42436	42991	43546	44147	44766	45394	45942	46531	47140	47712	48319	48929	49484	49980	50480	50903	51377	51840	52272	52787	53267	53710	54176	54623	55094	55541	55961	56381	56785	57222	57698	58112	58504	58872	59279	59657	59991	60330	60675	61027	61384	61681	62021	62351	62734	63098	63424	63761
https://youtu.be/-dcOYIDgCOY	藤本美貴「ロマンティック 浮かれモード」	29971	49957	61016	70240	80231	93164	103719	113190	123108	132623	140648	152107	154994	162342	169779	176747	183637	189378	196124	202304	208941	216499	224119	231990	238778	245082	251487	257667	264248	270345	276391	282136	288102	294165	300046	305884	311986	318117	323926	329361	334443	339750	345139	349985	355231	359585	364074	368522	372842	377549	382208	386813	391058	395206	399554	403336	407464	411591	415638	419288	422634	426031	429677	433327	437168	441017	444314	447995	451689	455391	459611	463415	467934
https://youtu.be/JSzISK4PNic	藤本美貴「会えない長い日曜日」	10310	17778	21652	24440	27415	31390	34483	37090	40701	43542	46088	49299	50207	52240	54494	56952	59113	60808	62696	64532	66146	68135	70103	72110	73734	75393	77174	78926	80500	82175	83660	85126	86915	88501	90098	91483	93034	94308	95428	96606	97913	99133	100328	101475	102494	103563	104619	105684	106598	107614	108650	109762	110702	111550	112500	113467	114344	115323	116260	117091	117929	118718	119514	120329	121240	122200	123018	123876	124804	125770	126629	127484	128331
https://youtu.be/BeXYdffrqyg	藤本美貴「ブギートレイン'03オースリー)」	21143	34806	41523	47206	54394	62178	68405	73018	77805	81955	85691	90445	91606	94684	97689	100795	103575	106022	108644	111436	114053	117196	120454	123313	125860	128333	130710	132901	135020	137349	139652	141884	143940	146160	148091	150168	152589	154813	156797	158686	160403	162149	163835	165277	166831	168283	169652	171074	172423	173826	175307	176753	178278	179604	181060	182346	183656	184916	186096	187311	188363	189417	190540	191674	192821	193847	194802	195777	196802	197859	199053	200144	201360
https://youtu.be/Zy2QNksVkyo	藤本美貴「置き手紙」	3914	6348	7540	8393	9202	9998	10490	10869	11289	11597	11858	12207	12281	12491	12730	12910	13109	13263	13429	13626	13753	13948	14106	14298	14454	14597	14727	14849	14967	15116	15264	15391	15513	15650	15793	15955	16043	16175	16339	16500	16622	16778	16914	17046	17190	17325	17435	17578	17689	17830	17963	18059	18127	18242	18384	18497	18648	18817	18928	19077	19215	19341	19467	19515	19620	19694	19755	19819	19906	19978	20062	20129	20221
https://youtu.be/netJmpGQYv0	藤本美貴「そっと口づけて ギュッと抱きしめて」	5397	8999	10976	12324	13769	15304	16544	17630	18678	19700	20478	21490	21727	22423	23182	23818	24473	25010	25568	26131	26657	27319	27926	28551	29067	29484	29919	30336	30726	31122	31595	31971	32393	32845	33252	33668	34015	34370	34712	35045	35334	35626	35940	36245	36579	36853	37135	37416	37684	37937	38212	38467	38698	38923	39189	39440	39697	39955	40215	40465	40680	40920	41138	41328	41563	41795	42011	42230	42454	42643	42877	43060	43265
