index	タイトル	2023-08-08	2023-08-09	2023-08-10	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20
https://youtu.be/ikRWg1mHQQw	GAM「メロディーズ」	6997	12731	15704	18506	21191	23172	24629	25981	27570	29027	30248	31707	33097	34326	36115	36477	37467	38415	39342	40267	40994	41808	42671	43488	44529	45532	46562	47409	48192	48952	49650	50309	50992	51635	52242	52864	53505	54080	54705	55327	55954	56522	57063	57570
https://youtu.be/8VagJJov398	ごまっとう「SHALL WE LOVE?」	39853	74142	88643	115869	151951	182179	200233	218601	238352	255409	268497	281181	294239	306165	319107	322822	329432	336840	344077	351159	357858	366995	375178	381341	389112	396492	404109	410524	415413	419836	424190	428410	432302	436636	440775	444898	448951	452922	456786	460518	464684	468163	471172	474254
https://youtu.be/UTlMhdFVTYc	ZYX「行くZYX! FLY HIGH」	9417	16018	19301	22938	26104	28247	29937	31427	33121	34603	35817	37286	38722	39931	41683	42089	43167	44177	45142	45995	46708	47574	48410	49291	50207	51231	52055	52906	53624	54331	54967	55533	56178	56835	57566	58318	58996	59678	60343	61050	61762	62515	63018	63529
https://youtu.be/nCBnZax5NdY	GAM「Thanks!」	5759	10402	12901	16319	20143	22509	24686	26640	29307	31404	33362	35676	37957	39954	42396	43043	44566	46156	47928	49536	50950	52561	53998	55776	57749	60113	65050	67890	70310	73038	75555	77300	79017	80720	82260	83699	84940	86237	87617	88904	90254	91563	92783	93877
https://youtu.be/htckGyVAMSc	SALT5「GET UP!ラッパー」	5966	11336	14287	17258	20132	22276	23916	25459	27201	28750	30061	31608	33049	34398	36058	36475	37494	38561	39507	40379	41169	42038	42874	43619	44487	45411	46326	47043	47694	48284	48793	49362	49898	50536	51083	51615	52147	52681	53165	53628	54072	54506	54973	55346
https://youtu.be/_1HreSTRjVU	High-King「C\Cシンデレラ\コンプレックス)」	25626	44215	53178	63378	74255	81032	86853	92729	98065	102229	105714	108977	112098	114526	118282	119103	121416	123774	125928	127974	129846	131729	133450	135165	137242	139257	141439	143255	145007	146619	148158	149707	151298	152983	154654	156294	158088	159668	161059	162562	164131	165554	166897	168405
https://youtu.be/4YIIIVk3XA4	7AIR「壊れない愛がほしいの」	7328	14515	18554	22364	26104	28998	31109	33145	35496	37658	39479	41881	44104	46378	49587	50281	52194	53950	55774	57439	58769	60582	62227	63877	65823	67520	69516	70978	72483	73861	75155	76443	77806	79054	80283	81590	82937	84251	85637	87043	88267	89327	90531	91602
https://youtu.be/BJdaxKaTCtg	モーニング娘。誕生10年記念隊「僕らが生きる	4686	10645	13492	15245	16591	17260	17733	18267	18859	19289	19568	19899	20216	20451	20747	20833	21028	21215	21377	21543	21671	21814	21975	22100	22290	22467	22651	22765	22853	22957	23054	23131	23222	23315	23427	23520	23643	23740	23807	23903	23978	24046	24110	24178
https://youtu.be/n2pNVmjVwnk	後浦なつみ「恋愛戦隊シツレンジャー」	4233	7308	8660	10173	11723	12682	13395	14023	14890	15654	16334	17050	17732	18275	18937	19086	19490	19857	20316	20757	21070	21513	21908	22205	22577	22906	23298	23603	23848	24079	24283	24512	24755	25023	25248	25475	25681	25879	26100	26300	26506	26700	26889	27071
https://youtu.be/Z69cx7LZxTY	H.P.オールスターズ「ALL FOR ONE & ONE FOR ALL!」	16627	27097	32128	37163	41426	44054	45926	47770	49857	51830	53524	55452	57342	58941	61263	61850	63389	64781	65991	67109	68056	69052	70063	71245	72743	74193	75735	76928	77889	78913	79843	80830	82048	83430	86126	88691	90828	92588	94085	95861	97570	99204	100424	101597
https://youtu.be/BtwJipmatzk	モーニング娘。さくら組「さくら満開」	6814	13170	16529	19661	22813	24940	26668	28043	29911	31448	32679	34083	35378	36575	38234	38682	39646	40520	41353	42124	42758	43505	44229	44959	45843	46736	47641	48430	49089	49754	50391	51012	51622	52291	52878	53498	54110	54731	55323	55898	56514	57118	57722	58181
https://youtu.be/eX-7DlYD_HA	11WATER「BE ALL RIGHT!」	6272	12599	15704	18690	21587	23497	25139	26708	28489	30014	31343	32910	34592	36191	38152	38665	39954	41079	42216	43396	44346	45404	46506	47676	48944	50021	51244	52132	53006	53897	54849	55918	56869	57693	58416	59126	59877	60633	61395	62075	62743	63306	63921	64476
